country,USA,AUS,CAN,CHN,IDN,IND,JPN,NZL,PHL,POL
2020,331003,25500,37742,1439324,273524,1380004,126476,4822,109581,37847
2025,340400,26880,39327,1457908,287090,1445012,123976,5006,116833,37515
2030,349642,28177,40834,1464340,299198,1503642,120758,5173,123698,36945
2035,358691,29410,42239,1461083,309765,1553724,117166,5315,130040,36178
2040,366572,30572,43486,1449031,318638,1592692,113356,5433,135619,35283
2045,373343,31702,44611,1429312,325705,1620619,109529,5530,140438,34310
2050,379419,32814,45669,1402405,330905,1639176,105804,5608,144488,33295
2055,385335,33899,46705,1369594,334399,1649298,102135,5672,147732,32254
2060,391495,34950,47779,1333031,336444,1651019,98326,5727,150220,31168
2065,397876,35967,48925,1295285,337314,1644309,94366,5782,151989,30017
2070,404174,36961,50096,1258054,337225,1629326,90472,5837,153039,28798
2075,409993,37937,51240,1221580,336349,1607269,86927,5888,153374,27572
2080,415197,38900,52348,1185891,334740,1580044,83925,5928,153010,26417
2085,419937,39864,53436,1151799,332354,1549224,81338,5954,152014,25392
2090,424470,40855,54540,1120467,329171,1516335,79047,5971,150497,24510
2095,429082,41870,55709,1092115,325272,1482011,76939,5989,148570,23737
2100,433854,42877,56953,1064993,320782,1447026,74959,6008,146327,23033
